N,replication,J_hat_N,se,lo,hi,covers
16,4,-3.3268809015e+01,7.8053477298e-01,-3.4798629058e+01,-3.1738988971e+01,1
16,5,-3.2796299701e+01,8.7466387811e-01,-3.4510609401e+01,-3.1081990001e+01,1
16,6,-3.1371321654e+01,7.9817924304e-01,-3.2935724224e+01,-2.9806919085e+01,1
16,7,-3.2370708840e+01,1.1280590816e+00,-3.4581664013e+01,-3.0159753668e+01,1
16,8,-3.0331091373e+01,7.5040467106e-01,-3.1801857502e+01,-2.8860325244e+01,0
16,9,-3.1872893149e+01,7.5586077246e-01,-3.3354353040e+01,-3.0391433258e+01,1
16,10,-3.3153116387e+01,4.3239758151e-01,-3.4000600074e+01,-3.2305632700e+01,0
16,11,-3.1508537925e+01,9.1127048506e-01,-3.3294595256e+01,-2.9722480595e+01,1
16,12,-3.2594388911e+01,7.6546183199e-01,-3.4094666533e+01,-3.1094111289e+01,1
16,13,-3.2039724753e+01,7.4935374812e-01,-3.3508431111e+01,-3.0571018395e+01,1
16,14,-3.1256847441e+01,1.0627756930e+00,-3.3339849523e+01,-2.9173845359e+01,1
16,15,-3.2900954336e+01,6.2401352386e-01,-3.4123998369e+01,-3.1677910304e+01,1
16,16,-3.2328867356e+01,8.3516464444e-01,-3.3965759980e+01,-3.0691974732e+01,1
16,17,-3.2311040326e+01,9.6728657689e-01,-3.4206887179e+01,-3.0415193472e+01,1
16,18,-3.1365398261e+01,9.4082739376e-01,-3.3209386069e+01,-2.9521410454e+01,1
16,19,-3.2368392810e+01,5.4643268122e-01,-3.3439381185e+01,-3.1297404435e+01,1
16,20,-3.3431421787e+01,1.0660017782e+00,-3.5520746879e+01,-3.1342096694e+01,1
16,21,-3.1454309021e+01,9.1174406587e-01,-3.3241294553e+01,-2.9667323488e+01,1
16,22,-3.1893140141e+01,7.8157301148e-01,-3.3424995095e+01,-3.0361285187e+01,1
16,23,-3.2277624148e+01,9.6431491170e-01,-3.4167646644e+01,-3.0387601651e+01,1
16,24,-3.1021618541e+01,8.1798331176e-01,-3.2624836372e+01,-2.9418400710e+01,1
16,25,-3.1602038642e+01,5.4598563562e-01,-3.2672150823e+01,-3.0531926460e+01,1
16,26,-3.2389976185e+01,9.2658343371e-01,-3.4206046344e+01,-3.0573906027e+01,1
16,27,-3.2465085780e+01,1.2601455593e+00,-3.4934925691e+01,-2.9995245868e+01,1
16,28,-3.1967447338e+01,9.3016602054e-01,-3.3790539238e+01,-3.0144355438e+01,1
16,29,-3.2611651831e+01,9.0465220807e-01,-3.4384737578e+01,-3.0838566085e+01,1
16,30,-3.1524862143e+01,9.8564325768e-01,-3.3456687430e+01,-2.9593036856e+01,1
16,31,-3.1946549265e+01,8.5179852770e-01,-3.3616043701e+01,-3.0277054829e+01,1
16,32,-3.1273748813e+01,9.9283338840e-01,-3.3219666496e+01,-2.9327831129e+01,1
16,33,-3.2400942808e+01,6.8874090163e-01,-3.3750850170e+01,-3.1051035446e+01,1
16,34,-3.2053482186e+01,9.2898421749e-01,-3.3874257794e+01,-3.0232706577e+01,1
16,35,-3.0681096664e+01,8.6450733984e-01,-3.2375499914e+01,-2.8986693413e+01,1
16,36,-3.1904913561e+01,7.4065792272e-01,-3.3356576414e+01,-3.0453250707e+01,1
16,37,-3.2818324298e+01,1.0425064266e+00,-3.4861599348e+01,-3.0775049248e+01,1
16,38,-3.2264698285e+01,1.0172836391e+00,-3.4258537580e+01,-3.0270858990e+01,1
16,39,-3.1679465906e+01,9.0346441637e-01,-3.3450223624e+01,-2.9908708189e+01,1
16,40,-3.2281264361e+01,9.2933792233e-01,-3.4102733218e+01,-3.0459795504e+01,1
16,41,-3.0970582118e+01,5.0731258788e-01,-3.1964896519e+01,-2.9976267716e+01,0
16,42,-3.1365681810e+01,8.5730252104e-01,-3.3045963875e+01,-2.9685399745e+01,1
16,43,-3.1901212021e+01,9.6972526492e-01,-3.3801838615e+01,-3.0000585427e+01,1
16,44,-3.3954807170e+01,8.9144839445e-01,-3.5702013917e+01,-3.2207600422e+01,0
16,45,-3.0511177981e+01,8.8370645963e-01,-3.2243210814e+01,-2.8779145147e+01,1
16,46,-3.1983703752e+01,8.3526176545e-01,-3.3620786730e+01,-3.0346620774e+01,1
16,47,-3.2162445751e+01,1.0592019903e+00,-3.4238443504e+01,-3.0086447998e+01,1
16,48,-3.1691342801e+01,8.9010917216e-01,-3.3435924721e+01,-2.9946760881e+01,1
16,49,-3.1982557939e+01,7.1633773189e-01,-3.3386554094e+01,-3.0578561784e+01,1
16,50,-3.2448376339e+01,8.6953488808e-01,-3.4152633403e+01,-3.0744119275e+01,1
16,51,-3.2895248575e+01,1.0684358705e+00,-3.4989344401e+01,-3.0801152749e+01,1
16,52,-3.0697689379e+01,9.6652344936e-01,-3.2592040530e+01,-2.8803338228e+01,1
16,53,-3.2000519905e+01,9.1563997124e-01,-3.3795141271e+01,-3.0205898538e+01,1
16,54,-3.2535568706e+01,8.2631990335e-01,-3.4155125956e+01,-3.0916011456e+01,1
16,55,-3.1587333338e+01,8.9497572483e-01,-3.3341453526e+01,-2.9833213150e+01,1
16,56,-3.1434747855e+01,9.8486130919e-01,-3.3365040551e+01,-2.9504455159e+01,1
16,57,-3.2978752250e+01,1.2134414752e+00,-3.5357053839e+01,-3.0600450662e+01,1
16,58,-3.0873804544e+01,8.9730754239e-01,-3.2632495010e+01,-2.9115114078e+01,1
16,59,-3.2814031616e+01,7.8605356793e-01,-3.4354668299e+01,-3.1273394933e+01,1
16,60,-3.1028279592e+01,6.4236242638e-01,-3.2287286813e+01,-2.9769272371e+01,1
16,61,-3.1015160644e+01,1.0917684864e+00,-3.3154987557e+01,-2.8875333731e+01,1
16,62,-3.1719759528e+01,8.2875403581e-01,-3.3344087590e+01,-3.0095431465e+01,1
16,63,-3.1874903147e+01,1.0152254093e+00,-3.3864708386e+01,-2.9885097909e+01,1
16,64,-3.2870348425e+01,7.5619684446e-01,-3.4352467006e+01,-3.1388229845e+01,1
16,65,-3.2556629940e+01,1.3057527123e+00,-3.5115858229e+01,-2.9997401651e+01,1
16,66,-3.4331792562e+01,1.0237772322e+00,-3.6338359065e+01,-3.2325226059e+01,0
16,67,-3.1711944877e+01,9.2043846313e-01,-3.3515971115e+01,-2.9907918639e+01,1
16,68,-3.2176987597e+01,9.8696577891e-01,-3.4111404978e+01,-3.0242570217e+01,1
16,69,-3.2531451895e+01,7.8562798118e-01,-3.4071254443e+01,-3.0991649347e+01,1
16,70,-3.2153239206e+01,8.9872593664e-01,-3.3914709674e+01,-3.0391768738e+01,1
16,71,-3.2788206177e+01,9.9827952165e-01,-3.4744798086e+01,-3.0831614268e+01,1
16,72,-2.9961019193e+01,8.3131699843e-01,-3.1590370570e+01,-2.8331667816e+01,0
16,73,-3.2673276459e+01,8.5841931414e-01,-3.4355747398e+01,-3.0990805520e+01,1
16,74,-3.1215972962e+01,7.2946085741e-01,-3.2645689970e+01,-2.9786255953e+01,1
16,75,-3.2508818331e+01,9.0697163302e-01,-3.4286450067e+01,-3.0731186595e+01,1
16,76,-3.2719461495e+01,1.0556883047e+00,-3.4788572551e+01,-3.0650350439e+01,1
16,77,-3.3361270677e+01,8.0358594567e-01,-3.4936270189e+01,-3.1786271165e+01,1
16,78,-3.0758808561e+01,7.8177791766e-01,-3.2291065124e+01,-2.9226551999e+01,1
16,79,-3.2582880299e+01,9.8503058459e-01,-3.4513504769e+01,-3.0652255830e+01,1
16,80,-3.1378166667e+01,6.1149130375e-01,-3.2576667599e+01,-3.0179665734e+01,1
16,81,-3.2679434726e+01,1.0563738765e+00,-3.4749889478e+01,-3.0608979973e+01,1
16,82,-3.1447477274e+01,1.0241637851e+00,-3.3454801407e+01,-2.9440153141e+01,1
16,83,-3.1357882242e+01,9.6612184454e-01,-3.3251446262e+01,-2.9464318222e+01,1
16,84,-3.2097996959e+01,9.2425275584e-01,-3.3909499073e+01,-3.0286494845e+01,1
16,85,-3.0524747245e+01,8.1301603921e-01,-3.2118229401e+01,-2.8931265089e+01,1
16,86,-3.1968785299e+01,1.3586326343e+00,-3.4631656330e+01,-2.9305914267e+01,1
16,87,-3.2391924265e+01,7.0233604039e-01,-3.3768477609e+01,-3.1015370921e+01,1
16,88,-3.1666140513e+01,7.4682978705e-01,-3.3129899998e+01,-3.0202381028e+01,1
16,89,-3.1872389366e+01,8.4699650498e-01,-3.3532472011e+01,-3.0212306722e+01,1
16,90,-3.0949728435e+01,7.5653800165e-01,-3.2432515671e+01,-2.9466941199e+01,1
16,91,-3.3135892972e+01,8.4277235720e-01,-3.4787696439e+01,-3.1484089505e+01,1
16,92,-3.2274129755e+01,1.1195042999e+00,-3.4468317863e+01,-3.0079941647e+01,1
16,93,-3.1744872324e+01,9.0006992250e-01,-3.3508976956e+01,-2.9980767693e+01,1
16,94,-3.2002155334e+01,1.2852869709e+00,-3.4521271507e+01,-2.9483039162e+01,1
16,95,-3.2476042930e+01,8.5236100228e-01,-3.4146639796e+01,-3.0805446064e+01,1
16,96,-3.1838350353e+01,9.6149380100e-01,-3.3722843574e+01,-2.9953857132e+01,1
16,97,-3.0119211561e+01,6.0912978970e-01,-3.1313084011e+01,-2.8925339111e+01,0
16,98,-3.1844336346e+01,1.0337709223e+00,-3.3870490122e+01,-2.9818182569e+01,1
16,99,-3.3572105534e+01,8.7721616613e-01,-3.5291417626e+01,-3.1852793442e+01,1
16,100,-3.2032812360e+01,9.5915691289e-01,-3.3912725365e+01,-3.0152899356e+01,1
32,1,-3.1461441685e+01,4.7562394349e-01,-3.2393647485e+01,-3.0529235886e+01,1
32,2,-3.1947313566e+01,6.1194064460e-01,-3.3146695190e+01,-3.0747931942e+01,1
32,3,-3.1773035589e+01,6.3390099083e-01,-3.3015458700e+01,-3.0530612477e+01,1
32,4,-3.2463414774e+01,6.4410664206e-01,-3.3725840595e+01,-3.1200988953e+01,1
32,5,-3.2083461690e+01,6.1192133088e-01,-3.3282805460e+01,-3.0884117920e+01,1
32,6,-3.1978453973e+01,5.9031590524e-01,-3.3135451887e+01,-3.0821456059e+01,1
32,7,-3.1630362015e+01,5.9641058672e-01,-3.2799305285e+01,-3.0461418745e+01,1
32,8,-3.1067659766e+01,5.3926558881e-01,-3.2124600898e+01,-3.0010718633e+01,1
32,9,-3.2391492072e+01,5.9666153112e-01,-3.3560927184e+01,-3.1222056960e+01,1
32,10,-3.3112066622e+01,4.9548005032e-01,-3.4083189676e+01,-3.2140943568e+01,0
32,11,-3.0766005423e+01,5.2699708633e-01,-3.1798900732e+01,-2.9733110114e+01,0
