sqrtN_dJ_N8,sqrtN_dJ_N16,sqrtN_dJ_N32,sqrtN_dJ_N64
-3.147893857530981450e+02,-3.944339042466017418e+02,4.441309536381002090e+02,1.359024744469788857e+02
1.390576967720574203e+03,1.178708493578145863e+03,2.210832025794925357e+03,3.457362866145558655e+02
-3.863031238832533063e+02,7.374902431511582108e+02,-3.011709187085746748e+02,-4.746985456621914636e+02
-2.055244637348750700e+02,-2.046136652784480248e+01,-7.451067966165038570e+02,5.986159855805162806e+02
6.863072898294920776e+01,1.032909749523270875e+03,2.121177379423790171e+03,9.676654644125665072e+02
3.295962004688673233e+02,1.124862504473101581e+03,1.441455012265111009e+03,-1.005480985663598403e+02
1.037289696486981939e+03,1.877319796010648133e+03,1.233196958036259275e+03,1.564996813270961866e+03
-3.199828009961045723e+02,3.362775247707031667e+02,1.689562913874797232e+03,2.231984930911945412e+03
-2.615179563311052107e+02,4.265735806489392417e+02,-2.075398599569198836e+02,1.557710506599687506e+02
-1.686368030888180783e+03,-1.959728744890162488e+03,-1.220743694558327377e+02,-6.272243582330993377e+02
-1.089364507141461445e+03,-1.018951024653491913e+03,-7.853097102317923373e+01,-9.296618298456596676e+02
9.420781961808515916e+02,-6.811211963767709676e+01,4.992393545463343116e+02,2.395076696141535649e+03
1.016894188409536014e+03,6.756815753133123508e+02,1.830956744104125846e+02,-1.399120275187306106e+01
9.383680646345092100e+02,1.148159884235210484e+03,1.324132968084184085e+03,1.741548601859249175e+02
-1.311191284980947103e+03,-2.825106973860689322e+03,-2.148943541144039500e+03,-1.524236950307647930e+03
-3.615369950314369163e+01,-1.359729060167243006e+03,5.932350377664436181e+00,1.552041087832476478e+03
1.285159628075618627e+02,2.070000400044140406e+03,2.838730214120269011e+03,1.540978768746979767e+03
-7.708631470753462622e+01,-1.006253831188107142e+03,-1.461915685848591011e+03,-1.768126595985231688e+03
-1.827102971210176293e+03,-2.404377075661235722e+03,-1.695495154973071521e+03,-2.474982092600665055e+03
1.747368022514517349e+02,-2.710010235043300781e+02,-1.047541796748766274e+03,-1.870947036299272440e+03
-9.469473886514605283e+02,-4.564960947141662473e+02,-3.470483306000647872e+02,7.774935567447391804e+02
-6.096502935878596645e+02,-6.129448867070459528e+02,-1.895396649257555453e+02,9.770693001683393959e+02
3.863003404599072041e+02,7.876012517927010776e+02,1.483554699981435533e+03,2.269889736518322024e+03
-7.111846413627840491e+01,-6.643744751732883742e+02,1.656253967664696916e+02,6.273336310218437575e+02
-2.226266339186088317e+03,-8.844261758091161028e+02,-7.724373105100535213e+02,-8.853664171739656013e+02
-1.701036487229203431e+03,-1.339678867701659328e+03,-1.256922730180869621e+03,-3.725862847603857517e+02
1.943707741657431427e+02,-4.021509255536802812e+02,-7.350586045385010721e+02,4.944263502905960195e+02
1.331813888710883475e+03,1.364150540227128658e+03,5.305650625768400914e+02,-1.241080549324979074e+02
-7.928745197214495875e+02,1.330525588891629013e+03,4.836843271863215250e+02,1.117911471249972237e+03
-6.222609279240210753e+02,-2.983449445985024795e+01,-3.658244075335842922e+02,3.409126238797325641e+02
-1.780242351114028907e+03,-8.358870955918973777e+02,2.233070948066104506e+02,-1.891814953966240864e+02
-8.214849968494263521e+02,-1.972109125977280200e+03,-2.292306898394349901e+03,-2.398184667018445907e+03
-1.650367282147764627e+03,-2.240155344942730153e+03,-1.382693269126846189e+03,-2.255287821175006684e+02
2.176271659083011400e+03,2.942761980116774794e+02,-1.185077071643965155e+03,-9.037780481629597489e+02
-2.225955108437975923e+03,-3.408466022838299978e+03,-2.909770354214895633e+03,-1.981656255817302736e+03
-8.571669546683370982e+02,-1.123092088958073873e+03,-2.561293617611120681e+03,-4.354939554666634649e+01
1.076852709204858456e+03,1.083532326947286492e+03,6.833660492443915757e+01,-6.168721705948410090e+02
2.988627127171833763e+03,2.682174739639260224e+03,3.542071958881331852e+02,-6.141141949088487308e+02
-7.453205121520726379e+02,-1.244739612673336524e+03,-3.225523641686222049e+02,6.374763279151811730e+02
-1.122357983461603368e+02,7.779878939949558116e+02,-2.269257028230024957e+02,1.885070100554730743e+02
-2.471332400998473418e+02,-1.912914588970015757e+02,-4.972259754580123854e+02,-1.996220659260870889e+02
1.511338537185336236e+03,1.915185976991633652e+03,7.427789667547930321e+02,3.982440071836172137e+02
3.610737567294680872e+01,5.970527306114527164e+02,-5.254409162358829377e+01,-2.794277381971187424e+02
-4.622618844766847701e+02,-4.743625313386728521e+02,-3.411730750122476934e+02,-1.365306097188993590e+03
2.275630546127071739e+03,2.135545418199253618e+03,1.358095544888913309e+03,3.356258780183852650e+02
