t,u
8.047499999999999432e+00,1.668589234840880842e+00
8.054999999999999716e+00,1.672483832535515580e+00
8.062500000000000000e+00,1.676391679159962456e+00
8.070000000000000284e+00,1.680313336444325012e+00
8.077500000000000568e+00,1.684249407967977508e+00
8.084999999999999076e+00,1.688200540882886402e+00
8.092499999999999361e+00,1.692167427572162985e+00
8.099999999999999645e+00,1.696150807212022826e+00
8.107499999999999929e+00,1.700151467196727495e+00
8.115000000000000213e+00,1.704170244375244669e+00
8.122500000000000497e+00,1.708208026034029992e+00
8.129999999999999005e+00,1.712265750541572817e+00
8.137499999999999289e+00,1.716344407545461914e+00
8.144999999999999574e+00,1.720445037579424241e+00
8.152499999999999858e+00,1.724568730892519497e+00
8.160000000000000142e+00,1.728716625251050409e+00
8.167500000000000426e+00,1.732889902378123015e+00
8.174999999999998934e+00,1.737089782575978347e+00
8.182499999999999218e+00,1.741317516905907636e+00
8.189999999999999503e+00,1.745574376055476051e+00
8.197499999999999787e+00,1.749861634665036414e+00
8.205000000000000071e+00,1.754180549356125107e+00
8.212500000000000355e+00,1.758532327911619397e+00
8.219999999999998863e+00,1.762918085859114914e+00
8.227499999999999147e+00,1.767338784893291326e+00
8.234999999999999432e+00,1.771795144854629633e+00
8.242499999999999716e+00,1.776287517091918344e+00
8.250000000000000000e+00,1.780815702177074300e+00
8.257500000000000284e+00,1.785378691477937929e+00
8.265000000000000568e+00,1.789974319806919567e+00
8.272499999999999076e+00,1.794598864760757584e+00
8.279999999999999361e+00,1.799246775302795420e+00
8.287499999999999645e+00,2.000000000000000000e+00
8.294999999999999929e+00,2.000000000000000000e+00
8.302500000000000213e+00,2.000000000000000000e+00
8.310000000000000497e+00,2.000000000000000000e+00
8.317499999999999005e+00,2.000000000000000000e+00
8.324999999999999289e+00,2.000000000000000000e+00
8.332499999999999574e+00,2.000000000000000000e+00
8.339999999999999858e+00,2.000000000000000000e+00
8.347500000000000142e+00,2.000000000000000000e+00
8.355000000000000426e+00,2.000000000000000000e+00
8.362499999999998934e+00,2.000000000000000000e+00
8.369999999999999218e+00,2.000000000000000000e+00
8.377499999999999503e+00,2.000000000000000000e+00
