t,u_nominal control,u_SAA control
4.569398999999999944e+01,5.266676159778099553e+00,6.242968034102256425e+00
4.572457500000000152e+01,5.275556741166390395e+00,6.255342326061617442e+00
4.575516000000000361e+01,5.284456275039219442e+00,6.267752921188334270e+00
4.578574499999999858e+01,5.293355066075159598e+00,6.280195531938408848e+00
4.581633000000000067e+01,5.302286893684899916e+00,6.292664854743500236e+00
4.584691500000000275e+01,5.311248862727580011e+00,6.305182912357023106e+00
4.587750000000000483e+01,5.320203804521438151e+00,6.317719585345534128e+00
4.590808499999999981e+01,5.329201641880904283e+00,6.330324274279488073e+00
4.593867000000000189e+01,5.338206076849195902e+00,6.342955267448377121e+00
4.596925500000000397e+01,5.347225687224653079e+00,6.355624625318638365e+00
4.599983999999999895e+01,5.356272900252077029e+00,6.368319400229453642e+00
4.603042500000000103e+01,5.365338451439201073e+00,6.381046808592088837e+00
4.606101000000000312e+01,5.374407414934287530e+00,6.393792573844925720e+00
4.609159499999999809e+01,5.383505104654725315e+00,6.406559780852143504e+00
4.612218000000000018e+01,5.392625337224261628e+00,6.419364316845897811e+00
4.615276500000000226e+01,5.401736297277109244e+00,6.432170947442187980e+00
4.618335000000000434e+01,5.410889705131210370e+00,6.445008457666405732e+00
4.621393499999999932e+01,5.420061224930755372e+00,6.457868287176395938e+00
4.624452000000000140e+01,5.429227927702033440e+00,6.470737817103771050e+00
4.627510500000000349e+01,5.438415394137344094e+00,6.483630103107389075e+00
4.630568999999999846e+01,5.447630947061970375e+00,6.496554864946773478e+00
4.633627500000000055e+01,5.456853600256135195e+00,6.509493032144711755e+00
4.636686000000000263e+01,5.466076277277265305e+00,6.522461379699405981e+00
4.639744500000000471e+01,5.475332400825875467e+00,6.535469200288912539e+00
4.642802999999999969e+01,5.484590524195934513e+00,6.548505544344872753e+00
4.645861500000000177e+01,5.493865219819936918e+00,6.561563454338270596e+00
4.648920000000000385e+01,5.503148419959121185e+00,6.574654155403969469e+00
4.651978499999999883e+01,5.512455526804350470e+00,6.587776414049153928e+00
4.655037000000000091e+01,5.521764273912289411e+00,6.600929410986866586e+00
4.658095500000000300e+01,5.531086884909367285e+00,6.614101509574669358e+00
4.661154000000000508e+01,5.540423006780498483e+00,6.627313983160302513e+00
4.664212500000000006e+01,5.549767371817515560e+00,6.640550539873515845e+00
4.667271000000000214e+01,5.559126315913819560e+00,6.653805484345310717e+00
4.670329500000000422e+01,5.568496127596156420e+00,6.667087874198624142e+00
4.673387999999999920e+01,5.577877502173387292e+00,6.680397314007011644e+00
4.676446500000000128e+01,5.587272508325385800e+00,6.693737395341869956e+00
4.679505000000000337e+01,5.596681868997372966e+00,6.707087477890954830e+00
4.682563499999999834e+01,5.606098401899020089e+00,6.720458254449077629e+00
4.685622000000000043e+01,5.615530845019230277e+00,6.733856539667285368e+00
4.688680500000000251e+01,5.624983849883466114e+00,6.747274584075554138e+00
4.691739000000000459e+01,5.634449413114936966e+00,6.760721791842021489e+00
4.694797499999999957e+01,5.643922208225682802e+00,6.774183228166489101e+00
4.697856000000000165e+01,5.653412342016782333e+00,6.787601181643878157e+00
4.700914500000000373e+01,5.662928091793187235e+00,6.801123347407364683e+00
4.703972999999999871e+01,5.672441253863341082e+00,6.814669204622523679e+00
4.707031500000000079e+01,5.681990169615239950e+00,6.828251633573920287e+00
4.710090000000000288e+01,5.691525326382241623e+00,6.841848100883087369e+00
4.713148500000000496e+01,5.701104368154353175e+00,6.855497463384454093e+00
4.716206999999999994e+01,5.710687012871302315e+00,6.869159330788773943e+00
4.719265500000000202e+01,5.720279625825228642e+00,6.882857945603086947e+00
4.722324000000000410e+01,5.729900057891738285e+00,6.896593413231466130e+00
4.725382499999999908e+01,5.739537265225671092e+00,6.910354759685417569e+00
4.728441000000000116e+01,5.749195054881174549e+00,6.924151699268425553e+00
4.731499500000000324e+01,5.758874504895514335e+00,6.937988725429000247e+00
4.734557999999999822e+01,5.768565443301312712e+00,6.951844992680731750e+00
4.737616500000000030e+01,5.778290053923646141e+00,6.965740654472886817e+00
4.740675000000000239e+01,5.788028044509039738e+00,6.979669282478702996e+00
4.743733500000000447e+01,5.797778218530162953e+00,6.993631820919849140e+00
4.746791999999999945e+01,5.807562331466103345e+00,7.007625712553344322e+00
4.749850500000000153e+01,5.817355369234411100e+00,7.021659870856799657e+00
4.752909000000000361e+01,5.827165339511714670e+00,7.035789324981769788e+00
4.755967499999999859e+01,5.837011873737015577e+00,7.049873386875156633e+00
4.759026000000000067e+01,5.846855332053781495e+00,7.063994857589588783e+00
4.762084500000000276e+01,5.856745199497486176e+00,7.078155717530720814e+00
4.765143000000000484e+01,5.866643152174613185e+00,7.092335268433545004e+00
4.768201499999999982e+01,5.876568577804045290e+00,7.106542379009969324e+00
4.771260000000000190e+01,5.886493997868900152e+00,7.120786210457696441e+00
4.774318500000000398e+01,5.896463043949079719e+00,7.135051760470799920e+00
4.777376999999999896e+01,5.906436758539985732e+00,7.149351476945144945e+00
4.780435500000000104e+01,5.916420966735976172e+00,7.163684203983878618e+00
4.783494000000000312e+01,5.926448258564471772e+00,7.178041081003700974e+00
4.786552500000000521e+01,5.936480881785652919e+00,7.192425916393156982e+00
4.789611000000000018e+01,5.946524251286835039e+00,7.206849452182395588e+00
4.792669500000000227e+01,5.956596328138189733e+00,7.221293191884099905e+00
4.795728000000000435e+01,5.966675479631587287e+00,7.235769186206499448e+00
4.798786499999999933e+01,5.976783807994779707e+00,7.250269765526380361e+00
4.801845000000000141e+01,5.986884491306087241e+00,7.264791981425937628e+00
4.804903500000000349e+01,5.997014324872332658e+00,7.279338465991837204e+00
4.807961999999999847e+01,6.007145798121886315e+00,7.293915159809061244e+00
4.811020500000000055e+01,6.017315116734884839e+00,7.308523491337714617e+00
4.814079000000000264e+01,6.027473896324649694e+00,7.323148880092953839e+00
4.817137500000000472e+01,6.037654468452655188e+00,7.337806114648000921e+00
4.820195999999999970e+01,6.047842661736233971e+00,7.352474514783030379e+00
4.823254500000000178e+01,6.058043058810113735e+00,7.367173924303330956e+00
4.826313000000000386e+01,6.068253343213193318e+00,7.381896755972272572e+00
4.829371499999999884e+01,6.078474433792813159e+00,7.396638125415605280e+00
4.832430000000000092e+01,6.088712472954056487e+00,7.411409790266922926e+00
4.835488500000000300e+01,6.098956635614693589e+00,7.426194762100123192e+00
4.838547000000000509e+01,6.109220616103732127e+00,7.440995044720922991e+00
4.841605500000000006e+01,6.119484899711907566e+00,7.455828799443355415e+00
4.844664000000000215e+01,6.129774325521809786e+00,7.470665180177337383e+00
4.847722500000000423e+01,6.140068653437094959e+00,7.485529698763969897e+00
4.850780999999999921e+01,6.150372446571770624e+00,7.500420755139267648e+00
4.853839500000000129e+01,6.160694599599144006e+00,7.515326188160537768e+00
4.856898000000000337e+01,6.171033919953936575e+00,7.530253951323103045e+00
4.859956499999999835e+01,6.181391677774690230e+00,7.545200255438498260e+00
4.863015000000000043e+01,6.191749704946247768e+00,7.560166621229621242e+00
4.866073500000000251e+01,6.202144654923878342e+00,7.575157658557101215e+00
4.869132000000000460e+01,6.212553945309123193e+00,7.590170149207470907e+00
4.872190499999999957e+01,6.222974999142767416e+00,7.605205433309055074e+00
4.875249000000000166e+01,6.233423437043779103e+00,7.620261771867816059e+00
4.878307500000000374e+01,6.243877868655403951e+00,7.635347049391779883e+00
4.881365999999999872e+01,6.254350777167061004e+00,7.650464676174382639e+00
4.884424500000000080e+01,6.264854667951502698e+00,7.665595965900640074e+00
4.887483000000000288e+01,6.275361099194057601e+00,7.680758437839214636e+00
4.890541500000000497e+01,6.285897140668613936e+00,7.695951386263184091e+00
4.893599999999999994e+01,6.296454282799393454e+00,7.711183099987803935e+00
4.896658500000000203e+01,6.307027838322334823e+00,7.726437237250693535e+00
4.899717000000000411e+01,6.317617739838839341e+00,7.741721816229747866e+00
4.902775499999999909e+01,6.328233567533197323e+00,7.757054061295080238e+00
4.905834000000000117e+01,6.338873323872935117e+00,7.772404684389374374e+00
4.908892500000000325e+01,6.349522387607968277e+00,7.787803867008177505e+00
4.911950999999999823e+01,6.360192581606328943e+00,7.803229032665541354e+00
4.915009500000000031e+01,6.370889348862972312e+00,7.818698215907842197e+00
4.918068000000000239e+01,6.381600870786578561e+00,7.834205045678574564e+00
4.921126500000000448e+01,6.392336081492131505e+00,7.849761238564157750e+00
4.924184999999999945e+01,6.403102853226904756e+00,7.865356506729781039e+00
4.927243500000000154e+01,6.413883790262058682e+00,7.880985771932509820e+00
4.930302000000000362e+01,6.424690641842597749e+00,7.896653016598999208e+00
4.933360499999999860e+01,6.435528638382490563e+00,7.912365630203588296e+00
4.936419000000000068e+01,6.446381982534338917e+00,7.928131110964531381e+00
4.939477500000000276e+01,6.457258196273913953e+00,7.943933343807030312e+00
4.942536000000000485e+01,6.468162328203187705e+00,7.959777445801499596e+00
4.945594499999999982e+01,6.479088167249067887e+00,7.975675213970039756e+00
4.948653000000000191e+01,6.490041750461443826e+00,7.991600484089565803e+00
4.951711500000000399e+01,6.501019001826298549e+00,8.007571738991092758e+00
4.954769999999999897e+01,6.512010712095764653e+00,8.023587016834502705e+00
4.957828500000000105e+01,6.523018329781212543e+00,8.039641831887159640e+00
4.960887000000000313e+01,6.534054251077075826e+00,8.055742585175684312e+00
4.963945500000000521e+01,6.545094164938958237e+00,8.071883494463838460e+00
4.967004000000000019e+01,6.556172411671107092e+00,8.088061406400248288e+00
4.970062500000000227e+01,6.567253366732310305e+00,8.104268461202757123e+00
