t,u
4.200000000000000178e+00,5.151290607885329331e-01
4.207499999999999574e+00,5.163048124476782297e-01
4.214999999999999858e+00,5.174833781995735738e-01
4.222500000000000142e+00,5.186647565516806502e-01
4.229999999999999538e+00,5.198489461430585434e-01
4.237499999999999822e+00,5.210359457380316917e-01
4.245000000000000107e+00,5.222257542100418037e-01
4.252499999999999503e+00,5.234183705337212000e-01
4.259999999999999787e+00,5.246137937631006887e-01
4.267500000000000071e+00,5.258120230223249925e-01
4.274999999999999467e+00,5.270130574845373062e-01
4.282499999999999751e+00,5.282168963527100747e-01
4.290000000000000036e+00,5.294235388422152688e-01
4.297499999999999432e+00,5.306329841562519301e-01
4.304999999999999716e+00,5.318452314653716595e-01
4.312500000000000000e+00,5.330602798846237889e-01
4.320000000000000284e+00,5.342781284546035403e-01
4.327499999999999680e+00,5.354987761112213196e-01
4.334999999999999964e+00,5.367222216628531051e-01
4.342500000000000249e+00,5.379484637691547277e-01
4.349999999999999645e+00,5.391775009123436213e-01
4.357499999999999929e+00,5.404093313761650919e-01
4.365000000000000213e+00,5.416439532189847306e-01
4.372499999999999609e+00,5.428813642487277935e-01
4.379999999999999893e+00,5.441215620020404264e-01
4.387500000000000178e+00,5.453645437192892187e-01
4.394999999999999574e+00,5.466103063229802439e-01
4.402499999999999858e+00,5.478588463936764352e-01
4.410000000000000142e+00,5.491101601527734744e-01
4.417499999999999538e+00,5.503642434394843130e-01
4.424999999999999822e+00,5.516210916945428755e-01
4.432500000000000107e+00,5.528806999407854805e-01
4.439999999999999503e+00,5.541430627700891787e-01
4.447499999999999787e+00,5.554081743288094009e-01
4.455000000000000071e+00,5.566760283058133085e-01
4.462499999999999467e+00,5.579466179168830475e-01
4.469999999999999751e+00,5.592199359036802431e-01
4.477500000000000036e+00,5.604959745199395993e-01
4.484999999999999432e+00,5.617747255307997678e-01
4.492499999999999716e+00,5.630561802103510871e-01
4.500000000000000000e+00,5.643403293390786279e-01
4.507499999999999396e+00,5.656271632061435906e-01
4.514999999999999680e+00,5.669166716120394023e-01
4.522499999999999964e+00,5.682088438801177199e-01
4.530000000000000249e+00,5.695036688618839715e-01
4.537499999999999645e+00,5.708011349461367123e-01
4.544999999999999929e+00,5.721012300782613025e-01
4.552500000000000213e+00,5.734039417717685660e-01
4.559999999999999609e+00,5.747092571288464624e-01
4.567499999999999893e+00,5.760171628601657989e-01
