t,u
3.076851000000000269e+01,2.303093044235375864e+00
3.079909500000000122e+01,2.307032532503035860e+00
3.082967999999999975e+01,2.310969261702047639e+00
3.086026500000000183e+01,2.314902326770542640e+00
3.089085000000000036e+01,2.318858252424297106e+00
3.092143500000000245e+01,2.322818050582068583e+00
3.095202000000000098e+01,2.326786065618851040e+00
3.098260499999999951e+01,2.330757151082273992e+00
3.101319000000000159e+01,2.334739573255044665e+00
3.104377500000000012e+01,2.338738568676440810e+00
3.107436000000000220e+01,2.342722159314562624e+00
3.110494500000000073e+01,2.346733443512309947e+00
3.113553000000000281e+01,2.350733943853966945e+00
3.116611500000000134e+01,2.354751255438229052e+00
3.119669999999999987e+01,2.358779686112752128e+00
3.122728500000000196e+01,2.362799101651920974e+00
3.125787000000000049e+01,2.366853009227710469e+00
3.128845500000000257e+01,2.370880274133235321e+00
3.131904000000000110e+01,2.374933311445564854e+00
3.134962499999999963e+01,2.378992251436097050e+00
3.138021000000000171e+01,2.383047659851909028e+00
3.141079500000000024e+01,2.387104175267575012e+00
3.144138000000000233e+01,2.391185737795060717e+00
3.147196500000000086e+01,2.395261466720776777e+00
3.150254999999999939e+01,2.399349272058644011e+00
3.153313500000000147e+01,2.403446019225298880e+00
3.156372000000000000e+01,2.407535023653645023e+00
3.159430500000000208e+01,2.411639724247760519e+00
3.162489000000000061e+01,2.415742647943623922e+00
3.165547500000000269e+01,2.419853810868569877e+00
3.168606000000000122e+01,2.423977566040336207e+00
3.171664499999999975e+01,2.428091819274869501e+00
3.174723000000000184e+01,2.432222053150433716e+00
3.177781500000000037e+01,2.436370002555916070e+00
3.180840000000000245e+01,2.440510105754568393e+00
3.183898500000000098e+01,2.444663824802161489e+00
3.186956999999999951e+01,2.448831703095401657e+00
3.190015500000000159e+01,2.452985441318090487e+00
3.193074000000000012e+01,2.457157730244029281e+00
3.196132500000000221e+01,2.461350862346443513e+00
3.199191000000000074e+01,2.465532124346875520e+00
3.202249499999999927e+01,2.469717706575168759e+00
3.205308000000000135e+01,2.473926697039649625e+00
3.208366500000000343e+01,2.478112607841848725e+00
3.211424999999999841e+01,2.482337821941272615e+00
3.214483500000000049e+01,2.486567187453482042e+00
3.217542000000000257e+01,2.490803172011447852e+00
3.220600500000000466e+01,2.495027976326151808e+00
3.223658999999999963e+01,2.499285725608964004e+00
3.226717500000000172e+01,2.503541760722665099e+00
3.229776000000000380e+01,2.507806608731522946e+00
3.232834499999999878e+01,2.512082394489667081e+00
3.235893000000000086e+01,2.516349411035170291e+00
3.238951500000000294e+01,2.520639589308802719e+00
3.242009999999999792e+01,2.524935852711858608e+00
3.245068500000000000e+01,2.529242187671400188e+00
3.248127000000000209e+01,2.533550492921566200e+00
3.251185500000000417e+01,2.537873783961944518e+00
3.254243999999999915e+01,2.542201595749948417e+00
3.257302500000000123e+01,2.546536391361800877e+00
3.260361000000000331e+01,2.550885620929849829e+00
3.263419499999999829e+01,2.555226855829115795e+00
3.266478000000000037e+01,2.559592471417367232e+00
3.269536500000000245e+01,2.563956920148906971e+00
3.272595000000000454e+01,2.568326882139371214e+00
3.275653499999999951e+01,2.572710944638918917e+00
3.278712000000000160e+01,2.577096950339409887e+00
3.281770500000000368e+01,2.581495542110514574e+00
3.284828999999999866e+01,2.585882667814678015e+00
3.287887500000000074e+01,2.590309771816429851e+00
3.290946000000000282e+01,2.594723182011228868e+00
3.294004499999999780e+01,2.599153165462071868e+00
3.297062999999999988e+01,2.603574148783119657e+00
3.300121500000000196e+01,2.608018397184299619e+00
3.303180000000000405e+01,2.612464012187195372e+00
3.306238499999999902e+01,2.616923274990218040e+00
3.309297000000000111e+01,2.621370312274209802e+00
3.312355500000000319e+01,2.625847906958649336e+00
3.315413999999999817e+01,2.630308082032760009e+00
3.318472500000000025e+01,2.634803336525386452e+00
3.321531000000000233e+01,2.639293649388834151e+00
3.324589500000000442e+01,2.643794297076112354e+00
3.327647999999999939e+01,2.648281109489126095e+00
3.330706500000000148e+01,2.652783888609461460e+00
3.333765000000000356e+01,2.657304857207773097e+00
3.336823499999999854e+01,2.661821778458965060e+00
3.339882000000000062e+01,2.666372027842924819e+00
3.342940500000000270e+01,2.670904238529928865e+00
3.345998999999999768e+01,2.675444854568685304e+00
3.349057499999999976e+01,2.680000873414280615e+00
3.352116000000000184e+01,2.684555649713294301e+00
3.355174500000000393e+01,2.689129146346702193e+00
3.358232999999999890e+01,2.693701201210873197e+00
3.361291500000000099e+01,2.698280458582603014e+00
3.364350000000000307e+01,2.702869479144038412e+00
3.367408499999999805e+01,2.707465109991914698e+00
3.370467000000000013e+01,2.712067768517441468e+00
3.373525500000000221e+01,2.716677341152136105e+00
3.376584000000000430e+01,2.721293843785107747e+00
3.379642499999999927e+01,2.725912813845302374e+00
3.382701000000000136e+01,2.730553535621361938e+00
3.385759500000000344e+01,2.735201268340304193e+00
3.388817999999999842e+01,2.739831051005580331e+00
3.391876500000000050e+01,2.744497625320913681e+00
