t,u
4.135092000000000212e+01,2.269481142124291527e-06
4.138150500000000420e+01,2.179998559692960036e-06
4.141208999999999918e+01,2.082026110435661007e-06
4.144267500000000126e+01,1.980643150782450680e-06
4.147326000000000334e+01,1.877910403664339791e-06
4.150384499999999832e+01,1.775891751164701376e-06
4.153443000000000040e+01,1.675929981512719985e-06
4.156501500000000249e+01,1.579082203041874318e-06
4.159560000000000457e+01,1.488342453625503712e-06
4.162618499999999955e+01,1.407542422538845317e-06
4.165677000000000163e+01,1.339432416493621261e-06
4.168735500000000371e+01,1.283864276761839124e-06
4.171793999999999869e+01,1.236139103702548587e-06
4.174852500000000077e+01,1.190747821594466174e-06
4.177911000000000286e+01,1.143593154069707309e-06
4.180969500000000494e+01,1.093754241195973290e-06
4.184027999999999992e+01,1.044770450666951726e-06
4.187086500000000200e+01,1.002389259501635388e-06
4.190145000000000408e+01,9.682514458021946812e-07
4.193203499999999906e+01,9.404124515971216849e-07
4.196262000000000114e+01,9.176858934373945641e-07
4.199320500000000322e+01,8.993111326006485868e-07
4.202378999999999820e+01,8.839104781168859066e-07
4.205437500000000028e+01,8.694446305216383540e-07
4.208496000000000237e+01,8.541861812261876197e-07
4.211554500000000445e+01,8.377721447059217172e-07
4.214612999999999943e+01,8.202403043209318724e-07
4.217671500000000151e+01,8.013901982646674964e-07
4.220730000000000359e+01,7.813278395645950174e-07
4.223788499999999857e+01,7.607211783861186291e-07
4.226847000000000065e+01,7.406271469112066569e-07
4.229905500000000274e+01,7.220305683853929599e-07
4.232964000000000482e+01,7.057306822811464275e-07
4.236022499999999980e+01,6.914126248989206086e-07
4.239081000000000188e+01,6.780491466688240832e-07
4.242139500000000396e+01,6.646257062983187876e-07
4.245197999999999894e+01,6.502536485739458598e-07
4.248256500000000102e+01,6.349994610206100175e-07
4.251315000000000310e+01,6.194355442270068704e-07
4.254373499999999808e+01,6.036162197977594496e-07
4.257432000000000016e+01,5.874428855729378579e-07
4.260490500000000225e+01,5.715990888153022826e-07
4.263549000000000433e+01,5.572525768046065138e-07
4.266607499999999931e+01,5.450778029605407905e-07
4.269666000000000139e+01,5.349987757994204473e-07
4.272724500000000347e+01,5.265051105799740111e-07
4.275782999999999845e+01,5.189138148200728917e-07
