sqrtN_dJ_N8,sqrtN_dJ_N16,sqrtN_dJ_N32,sqrtN_dJ_N64
-7.153698691697467638e+00,-8.827834949736910630e+00,-1.165321678382527182e+01,-6.860616815351590958e+00
-1.464761867360728997e+00,-4.093572021630791369e+00,-2.462822113193579465e+00,-1.588849278723557745e+00
-2.516296946065317286e-01,1.121986908808736416e+00,3.605219667021573482e+00,5.940643129792334776e+00
3.357011028027535815e+00,3.012737403927530977e+00,5.649169386145922456e-01,-4.888402326903474204e+00
-3.250761486239205578e+00,-4.091504649102745361e+00,-9.186141654946501367e-01,-3.320936890567622868e-01
-6.553709565709459284e+00,-1.354653165882666599e+00,-2.706722382376197444e+00,-6.423524616404165499e+00
5.981907488745971335e+00,1.098057278726713548e+00,-1.376413652337107330e+00,-3.559748946111596979e+00
-1.341864995871404842e+00,-4.704664597898101874e+00,-3.627277113177372669e+00,-1.494858728430756400e+00
-5.698917544536847846e-01,2.889302992198366837e+00,-7.798196291121980428e-01,-3.250984252393152474e+00
8.429539489964255061e-01,1.744273814257979893e+00,-3.114396360638371775e-01,-3.779278701168550469e+00
-5.327232710549625772e+00,-7.738954997366818134e+00,-5.978807940908231089e+00,-1.670116064252908927e+00
1.930266935003692508e+00,1.723506107136955734e+00,-4.020910092019438498e-01,4.560581732403079513e-02
-1.665547608874832441e+00,-1.811827324953867446e+00,-4.490639600863490233e-01,-4.383583664312652672e+00
-9.805760863265611249e+00,-5.298941469498231527e+00,-1.738172412991634719e+00,-2.431356013995582543e-01
3.299426768994647485e+00,-1.504300332639729731e-01,1.581612486703844800e+00,-2.117372864060769189e+00
-2.097005635468779605e+00,-9.568566815111410051e-01,-4.534074310952243891e+00,2.172172415788367061e+00
-6.361368983289983348e-01,-1.228205891578141973e+00,-2.198994671587661376e+00,-2.741422382055191065e+00
1.325305079062751856e-01,2.062749181699999212e+00,3.080338895599044058e+00,4.814198352568666905e+00
-4.889324811877605370e+00,-1.872286153196540681e+00,-1.225035697398714207e+00,-1.732463193107832922e+00
2.499784705275120089e+00,3.620662956049557124e+00,8.008841708271074111e+00,1.069328876645960236e+01
3.000411166514951766e+00,2.009554865412539471e+00,2.786476612345686110e+00,2.322028957533945004e+00
-1.261548758876517518e+00,-1.430092725062763748e-01,-6.136788029911377507e-01,-3.825874312253063181e+00
-4.763624804270983226e+00,-2.089783367530657188e+00,2.033270218540491392e+00,4.740716014791075850e+00
-9.778585095330766253e-02,-4.324996252415928666e+00,-5.534263664594386789e+00,-4.495934069652776088e-01
3.301114969937935406e+00,1.666806382601734526e+00,2.868068442625260062e+00,2.817185392131932531e+00
1.821049923414205685e+00,-7.071875433076968420e-01,-9.563206541393224347e-01,-3.195659017483023945e+00
7.315708384342009651e+00,7.188784062328934965e+00,4.259894249013146172e+00,5.982218811291829752e+00
-6.671692888737469351e-01,7.134540930928494618e-01,-2.781222932653304447e-01,2.887514129590357470e+00
-6.161720762313675159e+00,-6.843477988752653118e+00,-5.638177436631256256e+00,-3.364489947017034410e+00
3.702348306582493809e+00,8.142698726871060444e-01,-3.211600598243331994e+00,9.997929620330410216e-01
8.600498302814538892e-03,1.539220929069983868e+00,4.841562999254992228e+00,1.746518470274139645e+00
-4.512142065938302693e+00,-3.480569451993687835e+00,-3.841119861893446341e+00,-3.587378124419672076e+00
7.972892026696402290e+00,4.249461681598916130e+00,4.564194289808636285e+00,2.997866848860013533e+00
-9.922047203476314081e-01,-2.475479013200157397e+00,-7.657611826488663453e+00,-8.250328615311900649e+00
-1.479460032426066496e+00,1.100063311118333331e+00,-1.518570531342609886e+00,3.582181122360736936e-01
2.461055016531424222e+00,1.550722780814353996e+00,-4.931158446161988673e-02,-5.548497601448389105e+00
-4.019094967908131366e+00,-9.551908734566154635e-01,1.101797909525236152e+00,-8.257915762106904367e-02
1.853615616003187805e+00,3.837013615435722613e+00,1.269542071739591549e+00,2.145593377134275670e+00
7.096571041634794241e+00,7.171873420752547190e+00,5.628182888378964854e+00,5.200146634515789401e+00
-3.904766777488365648e+00,-4.224290321634157408e+00,-8.783798361399401955e+00,-9.906581127874801496e+00
1.152327586011349103e+00,2.205640118828029017e+00,1.019677905798149320e+00,1.682756782166080711e+00
-3.713186629686386908e+00,-6.586528155150119801e-01,-2.191356753952742320e+00,-2.008853368086477076e+00
9.111265119804484724e-01,-3.350855943496355849e-01,4.679190982313301994e+00,4.081584311418396283e+00
-3.943323046190590209e-02,-2.195866566408454901e+00,1.650333849813375497e+00,8.413548792701419643e-01
5.547654423201050733e+00,5.797317251801175075e+00,6.047620292325975200e+00,4.181411208382144196e+00
-3.888913113360629836e+00,-2.764345682928848191e+00,-2.453483750218494297e+00,4.704305366353480622e-01
4.694024533379959618e-01,7.755822124787243865e-01,2.877122300471695482e+00,9.298198628876548355e-01
3.733574180499785733e+00,-5.933920412582551762e-01,-1.479345497069994853e+00,1.334540259442292154e+00
2.454982741149053016e+00,4.488077582948278632e+00,6.997888680283280038e+00,7.175666844022117630e+00
