t,u
9.682499999999999218e+00,2.000000000000000000e+00
9.689999999999999503e+00,0.000000000000000000e+00
9.697499999999999787e+00,0.000000000000000000e+00
9.705000000000000071e+00,0.000000000000000000e+00
9.712500000000000355e+00,0.000000000000000000e+00
9.719999999999998863e+00,0.000000000000000000e+00
9.727499999999999147e+00,0.000000000000000000e+00
9.734999999999999432e+00,0.000000000000000000e+00
9.742499999999999716e+00,0.000000000000000000e+00
9.750000000000000000e+00,0.000000000000000000e+00
9.757500000000000284e+00,0.000000000000000000e+00
9.764999999999998792e+00,0.000000000000000000e+00
9.772499999999999076e+00,0.000000000000000000e+00
9.779999999999999361e+00,0.000000000000000000e+00
9.787499999999999645e+00,0.000000000000000000e+00
9.794999999999999929e+00,0.000000000000000000e+00
9.802500000000000213e+00,0.000000000000000000e+00
9.810000000000000497e+00,0.000000000000000000e+00
9.817499999999999005e+00,0.000000000000000000e+00
9.824999999999999289e+00,0.000000000000000000e+00
9.832499999999999574e+00,0.000000000000000000e+00
9.839999999999999858e+00,0.000000000000000000e+00
9.847500000000000142e+00,0.000000000000000000e+00
9.855000000000000426e+00,0.000000000000000000e+00
9.862499999999998934e+00,0.000000000000000000e+00
9.869999999999999218e+00,0.000000000000000000e+00
9.877499999999999503e+00,0.000000000000000000e+00
9.884999999999999787e+00,0.000000000000000000e+00
9.892500000000000071e+00,0.000000000000000000e+00
9.900000000000000355e+00,0.000000000000000000e+00
9.907499999999998863e+00,0.000000000000000000e+00
9.914999999999999147e+00,0.000000000000000000e+00
9.922499999999999432e+00,0.000000000000000000e+00
9.929999999999999716e+00,0.000000000000000000e+00
9.937500000000000000e+00,0.000000000000000000e+00
9.945000000000000284e+00,0.000000000000000000e+00
9.952499999999998792e+00,0.000000000000000000e+00
9.959999999999999076e+00,0.000000000000000000e+00
9.967499999999999361e+00,0.000000000000000000e+00
9.974999999999999645e+00,0.000000000000000000e+00
9.982499999999999929e+00,0.000000000000000000e+00
9.990000000000000213e+00,0.000000000000000000e+00
9.997500000000000497e+00,0.000000000000000000e+00
1.000499999999999901e+01,0.000000000000000000e+00
1.001249999999999929e+01,0.000000000000000000e+00
1.001999999999999957e+01,0.000000000000000000e+00
1.002749999999999986e+01,0.000000000000000000e+00
1.003500000000000014e+01,0.000000000000000000e+00
1.004250000000000043e+01,0.000000000000000000e+00
1.004999999999999893e+01,0.000000000000000000e+00
1.005749999999999922e+01,0.000000000000000000e+00
1.006499999999999950e+01,0.000000000000000000e+00
1.007249999999999979e+01,0.000000000000000000e+00
1.008000000000000007e+01,0.000000000000000000e+00
1.008750000000000036e+01,0.000000000000000000e+00
1.009499999999999886e+01,0.000000000000000000e+00
1.010249999999999915e+01,0.000000000000000000e+00
1.010999999999999943e+01,0.000000000000000000e+00
1.011749999999999972e+01,0.000000000000000000e+00
1.012500000000000000e+01,0.000000000000000000e+00
1.013250000000000028e+01,0.000000000000000000e+00
1.013999999999999879e+01,0.000000000000000000e+00
1.014749999999999908e+01,0.000000000000000000e+00
1.015499999999999936e+01,0.000000000000000000e+00
1.016249999999999964e+01,0.000000000000000000e+00
1.016999999999999993e+01,0.000000000000000000e+00
1.017750000000000021e+01,0.000000000000000000e+00
1.018500000000000050e+01,0.000000000000000000e+00
1.019249999999999901e+01,0.000000000000000000e+00
1.019999999999999929e+01,0.000000000000000000e+00
1.020749999999999957e+01,0.000000000000000000e+00
1.021499999999999986e+01,0.000000000000000000e+00
1.022250000000000014e+01,0.000000000000000000e+00
1.023000000000000043e+01,0.000000000000000000e+00
1.023749999999999893e+01,0.000000000000000000e+00
1.024499999999999922e+01,0.000000000000000000e+00
1.025249999999999950e+01,0.000000000000000000e+00
1.025999999999999979e+01,0.000000000000000000e+00
1.026750000000000007e+01,0.000000000000000000e+00
1.027500000000000036e+01,0.000000000000000000e+00
1.028249999999999886e+01,0.000000000000000000e+00
1.028999999999999915e+01,0.000000000000000000e+00
1.029749999999999943e+01,0.000000000000000000e+00
1.030499999999999972e+01,0.000000000000000000e+00
1.031250000000000000e+01,0.000000000000000000e+00
1.032000000000000028e+01,0.000000000000000000e+00
1.032749999999999879e+01,0.000000000000000000e+00
1.033499999999999908e+01,0.000000000000000000e+00
1.034249999999999936e+01,0.000000000000000000e+00
1.034999999999999964e+01,0.000000000000000000e+00
1.035749999999999993e+01,0.000000000000000000e+00
1.036500000000000021e+01,0.000000000000000000e+00
1.037250000000000050e+01,0.000000000000000000e+00
1.037999999999999901e+01,0.000000000000000000e+00
1.038749999999999929e+01,0.000000000000000000e+00
