t,u_nominal solution,u_SAA solution
1.260000000000000009e+00,2.130457964521271508e-01,2.122083743300518799e-01
1.267499999999999849e+00,2.135252744202865149e-01,2.126815210085651053e-01
1.274999999999999911e+00,2.140058620941984735e-01,2.131556936041756334e-01
1.282499999999999973e+00,2.144875637076690822e-01,2.136308924913526419e-01
1.290000000000000036e+00,2.149703834682536452e-01,2.141071181488481689e-01
1.297499999999999876e+00,2.154543255527938128e-01,2.145843711670868403e-01
1.304999999999999938e+00,2.159393941029519315e-01,2.150626522552639419e-01
1.312500000000000000e+00,2.164255932207882482e-01,2.155419622481740127e-01
1.319999999999999840e+00,2.169129269643718383e-01,2.160223021127337661e-01
1.327499999999999902e+00,2.174013993434089353e-01,2.165036729541672533e-01
1.334999999999999964e+00,2.178910143149480061e-01,2.169860760218474405e-01
1.342500000000000027e+00,2.183817757791296499e-01,2.174695127147915075e-01
1.349999999999999867e+00,2.188736875750235400e-01,2.179539845867552728e-01
1.357499999999999929e+00,2.193667534765358085e-01,2.184394933509837822e-01
1.364999999999999991e+00,2.198609771884106334e-01,2.189260408845007666e-01
1.372500000000000053e+00,2.203563623423333284e-01,2.194136292320160164e-01
1.379999999999999893e+00,2.208529124931478405e-01,2.199022606094100940e-01
1.387499999999999956e+00,2.213506311151980099e-01,2.203919374067688230e-01
1.395000000000000018e+00,2.218495215987896230e-01,2.208826621909715238e-01
1.402499999999999858e+00,2.223495872468026768e-01,2.213744377078409875e-01
1.409999999999999920e+00,2.228508312714594097e-01,2.218672668838160000e-01
1.417499999999999982e+00,2.233532567912439315e-01,2.223611528271561000e-01
1.425000000000000044e+00,2.238568668280033758e-01,2.228560988287015543e-01
1.432499999999999885e+00,2.243616643042042058e-01,2.233521083621247405e-01
1.439999999999999947e+00,2.248676520404178647e-01,2.238491850837375785e-01
1.447500000000000009e+00,2.253748327529787321e-01,2.243473328318019988e-01
1.454999999999999849e+00,2.258832090518509417e-01,2.248465556253766151e-01
1.462499999999999911e+00,2.263927834387172988e-01,2.253468576626659614e-01
1.469999999999999973e+00,2.269035583052947946e-01,2.258482433189429317e-01
1.477500000000000036e+00,2.274155359318676406e-01,2.263507171439536059e-01
1.484999999999999876e+00,2.279287184860653015e-01,2.268542838588961108e-01
1.492499999999999938e+00,2.284431080219082033e-01,2.273589483529231126e-01
1.500000000000000000e+00,2.289587064790665483e-01,2.278647156792028561e-01
1.507499999999999840e+00,2.294755156824126729e-01,2.283715910505694502e-01
1.514999999999999902e+00,2.299935373418123818e-01,2.288795798346784371e-01
1.522499999999999964e+00,2.305127730522030516e-01,2.293886875488105881e-01
1.530000000000000027e+00,2.310332242939408254e-01,2.298989198542390200e-01
1.537499999999999867e+00,2.315548924334203673e-01,2.304102825501959939e-01
1.544999999999999929e+00,2.320777787239719780e-01,2.309227815675015394e-01
1.552499999999999991e+00,2.326018843070602193e-01,2.314364229618268154e-01
1.560000000000000053e+00,2.331272102137466884e-01,2.319512129065630923e-01
1.567499999999999893e+00,2.336537573664595746e-01,2.324671576854243082e-01
1.574999999999999956e+00,2.341815265810219537e-01,2.329842636847045401e-01
1.582500000000000018e+00,2.347105185690065154e-01,2.335025373852498698e-01
1.589999999999999858e+00,2.352407339403476128e-01,2.340219853542215012e-01
1.597499999999999920e+00,2.357721732062452447e-01,2.345426142365469313e-01
1.604999999999999982e+00,2.363048367823628593e-01,2.350644307461727811e-01
1.612500000000000044e+00,2.368387249922855320e-01,2.355874416571102636e-01
1.619999999999999885e+00,2.373738380712692997e-01,2.361116537943181715e-01
1.627499999999999947e+00,2.379101761702516749e-01,2.366370740244268245e-01
1.635000000000000009e+00,2.384477393601445450e-01,2.371637092463350638e-01
1.642499999999999849e+00,2.389865276363669078e-01,2.376915663817024127e-01
1.649999999999999911e+00,2.395265409236380094e-01,2.382206523653553898e-01
1.657499999999999973e+00,2.400677790810034351e-01,2.387509741356430848e-01
1.665000000000000036e+00,2.406102419071217691e-01,2.392825386247923458e-01
1.672499999999999876e+00,2.411539291457640843e-01,2.398153527492190851e-01
1.679999999999999938e+00,2.416988404915207111e-01,2.403494233998883789e-01
1.687500000000000000e+00,2.422449755957239992e-01,2.408847574326838381e-01
1.694999999999999840e+00,2.427923340725672563e-01,2.414213616589366285e-01
1.702499999999999902e+00,2.433409155053923578e-01,2.419592428359917391e-01
1.709999999999999964e+00,2.438907194531527156e-01,2.424984076578833858e-01
1.717500000000000027e+00,2.444417454570202985e-01,2.430388627462115037e-01
1.724999999999999867e+00,2.449939930471580762e-01,2.435806146411414463e-01
1.732499999999999929e+00,2.455474617495844170e-01,2.441236697926522647e-01
1.739999999999999991e+00,2.461021510931663270e-01,2.446680345519695321e-01
1.747499999999999831e+00,2.466580606167018130e-01,2.452137151632522716e-01
1.754999999999999893e+00,2.472151898760669986e-01,2.457607177555581612e-01
1.762499999999999956e+00,2.477735384514441197e-01,2.463090483350669768e-01
1.770000000000000018e+00,2.483331059545559605e-01,2.468587127776309120e-01
1.777499999999999858e+00,2.488938920359589635e-01,2.474097168216533860e-01
1.784999999999999920e+00,2.494558963923191597e-01,2.479620660613084393e-01
1.792499999999999982e+00,2.500191187736771625e-01,2.485157659401173447e-01
1.799999999999999822e+00,2.505835589906854066e-01,2.490708217449080497e-01
1.807499999999999885e+00,2.511492169217932613e-01,2.496272386001770760e-01
1.814999999999999947e+00,2.517160925203539845e-01,2.501850214628519864e-01
1.822500000000000009e+00,2.522841858216435806e-01,2.507441751174848132e-01
1.829999999999999849e+00,2.528534969497820972e-01,2.513047041718807773e-01
1.837499999999999911e+00,2.534240261245077619e-01,2.518666130531822533e-01
1.844999999999999973e+00,2.539957736678076228e-01,2.524299060043785348e-01
1.852500000000000036e+00,2.545687400103996412e-01,2.529945870813198328e-01
1.859999999999999876e+00,2.551429256980176641e-01,2.535606601501532165e-01
1.867499999999999938e+00,2.557183313974920602e-01,2.541281288853307618e-01
1.875000000000000000e+00,2.562949579025964875e-01,2.546969967680053903e-01
1.882499999999999840e+00,2.568728061396874374e-01,2.552672670849499559e-01
1.889999999999999902e+00,2.574518771730697764e-01,2.558389429279841476e-01
1.897499999999999964e+00,2.580321722100878956e-01,2.564120271938786777e-01
1.905000000000000027e+00,2.586136926059386942e-01,2.569865225847308143e-01
1.912499999999999867e+00,2.591964398681791404e-01,2.575624316088639398e-01
1.919999999999999929e+00,2.597804156609214710e-01,2.581397565821952900e-01
1.927499999999999991e+00,2.603656218086924379e-01,2.587184996300869178e-01
1.934999999999999831e+00,2.609520602999511052e-01,2.592986626896701119e-01
1.942499999999999893e+00,2.615397332902482663e-01,2.598802475126590905e-01
1.949999999999999956e+00,2.621286431050366406e-01,2.604632556686055089e-01
1.957500000000000018e+00,2.627187922420854971e-01,2.610476885485915055e-01
1.964999999999999858e+00,2.633101833735204123e-01,2.616335473694228475e-01
1.972499999999999920e+00,2.639028193474667328e-01,2.622208331781888391e-01
1.979999999999999982e+00,2.644967031893000753e-01,2.628095468572848592e-01
1.987499999999999822e+00,2.650918381024905957e-01,2.633996891298306386e-01
1.994999999999999885e+00,2.656882274690283707e-01,2.639912605654755051e-01
2.002499999999999947e+00,2.662858748494449368e-01,2.645842615865635628e-01
2.009999999999999787e+00,2.668847839824226575e-01,2.651786924746713514e-01
2.017500000000000071e+00,2.674849587839679965e-01,2.657745533775061619e-01
2.024999999999999911e+00,2.680864033461963225e-01,2.663718443160786875e-01
2.032499999999999751e+00,2.686891219356820071e-01,2.669705651922293366e-01
2.040000000000000036e+00,2.692931189913944090e-01,2.675707157964107852e-01
2.047499999999999876e+00,2.698983991222519974e-01,2.681722958157374270e-01
2.054999999999999716e+00,2.705049671042255022e-01,2.687753048422763524e-01
